authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab
,,EPI_ISL_1615734,,,hCoV-19/England/CAMC-14E7BCB/2021,
,,EPI_ISL_1986382,,,hCoV-19/England/MILK-155190D/2021,
,,EPI_ISL_1102359,,,hCoV-19/England/RAND-12CD750/2021,
,,EPI_ISL_2238002,,,hCoV-19/England/MILK-1589456/2021,
,,EPI_ISL_3777015,,,hCoV-19/England/PHEC-U308U9EC/2021,
,,EPI_ISL_1489142,,,hCoV-19/England/ALDP-147A556/2021,
,,EPI_ISL_1698793,,,hCoV-19/England/MILK-14FDAF2/2021,
,,EPI_ISL_1698403,,,hCoV-19/England/CAMC-1507CFE/2021,
,,EPI_ISL_1698490,,,hCoV-19/England/CAMC-1507B4C/2021,
,,EPI_ISL_2739855,,,hCoV-19/England/PHEC-2FFBA7/2021,
,,EPI_ISL_1538229,,,hCoV-19/Scotland/QEUH-14A9819/2021,
,,EPI_ISL_1546426,,,hCoV-19/Wales/PHWC-PYDJ8J/2021,
,,EPI_ISL_1790997,,,hCoV-19/England/MILK-15247EB/2021,
,,EPI_ISL_2742311,,,hCoV-19/England/PHEC-30D1EF/2021,
,,EPI_ISL_768815,,,hCoV-19/England/205390867/2021,
,,EPI_ISL_1327333,,,hCoV-19/England/CAMC-13D362C/2021,
,,EPI_ISL_770440,,,hCoV-19/England/205280029/2020,
,,EPI_ISL_1564124,,,hCoV-19/England/CAMC-14D5E30/2021,
,,EPI_ISL_1653350,,,hCoV-19/England/CAMC-14F3A0B/2021,
,,EPI_ISL_1790393,,,hCoV-19/England/RAND-151EDF1/2021,
,,EPI_ISL_964476,,,hCoV-19/England/QEUH-11CC682/2021,
,,EPI_ISL_1698977,,,hCoV-19/England/MILK-14FFD42/2021,
,,EPI_ISL_1831291,,,hCoV-19/England/HSLL-151941F/2021,
,,EPI_ISL_1857873,,,hCoV-19/England/MILK-1542802/2021,
,,EPI_ISL_1243729,,,hCoV-19/England/ALDP-136EDE5/2021,
,,EPI_ISL_1741434,,,hCoV-19/England/MILK-15155D4/2021,
,,EPI_ISL_1245003,,,hCoV-19/England/CAMC-134DB6A/2021,
,,EPI_ISL_1832545,,,hCoV-19/England/LOND-128DBBA/2021,
,,EPI_ISL_2540849,,,hCoV-19/England/MILK-164956D/2021,
,,EPI_ISL_1410122,,,hCoV-19/England/CAMC-141BC61/2021,
,,EPI_ISL_3776303,,,hCoV-19/England/PHEC-U303UCBB/2021,
,,EPI_ISL_2735816,,,hCoV-19/England/PHEC-1555B1/2021,
,,EPI_ISL_2741276,,,hCoV-19/England/PHEC-307C11/2021,
,,EPI_ISL_2740298,,,hCoV-19/England/PHEC-302205/2021,
,,EPI_ISL_2125753,,,hCoV-19/Scotland/EDB17916/2021,
,,EPI_ISL_2006562,,,hCoV-19/England/HSLL-153296C/2021,
,,EPI_ISL_860695,,,hCoV-19/England/210291017/2021,
,,EPI_ISL_1309722,,,hCoV-19/England/NOTT-252164/2021,
,,EPI_ISL_1411707,,,hCoV-19/England/RAND-143D373/2021,
,,EPI_ISL_2347225,,,hCoV-19/England/MILK-15B08E1/2021,
,,EPI_ISL_3777102,,,hCoV-19/England/PHEC-U30AU346/2021,
,,EPI_ISL_1921325,,,hCoV-19/England/ALDP-154D870/2021,
,,EPI_ISL_1101701,,,hCoV-19/England/RAND-12D7638/2021,
,,EPI_ISL_1100617,,,hCoV-19/England/MILK-130AF4F/2021,
,,EPI_ISL_2366478,,,hCoV-19/England/MILK-15BE4D0/2021,
,,EPI_ISL_1831396,,,hCoV-19/England/CAMC-133BDD2/2021,
,,EPI_ISL_1451450,,,hCoV-19/England/CAMC-144BBC5/2021,
,,EPI_ISL_1386532,,,hCoV-19/England/BIRM-BCNNQO/2021,
,,EPI_ISL_1045932,,,hCoV-19/England/CAMC-1270EA2/2021,
,,EPI_ISL_2392834,,,hCoV-19/England/MILK-15DDBD6/2021,
,,EPI_ISL_2348215,,,hCoV-19/England/MILK-15AB746/2021,
,,EPI_ISL_1564538,,,hCoV-19/England/ALDP-14D49B8/2021,
,,EPI_ISL_1489353,,,hCoV-19/England/RAND-1485770/2021,
,,EPI_ISL_1275600,,,hCoV-19/England/CAMC-13A518C/2021,
,,EPI_ISL_3070122,,,hCoV-19/England/BRBR-193E128/2021,
,,EPI_ISL_1276914,,,hCoV-19/England/CAMC-139B857/2021,
,,EPI_ISL_1473824,,,hCoV-19/England/ALDP-14744D7/2021,
,,EPI_ISL_1544247,,,hCoV-19/England/MILK-14CC4EF/2021,
,,EPI_ISL_1473630,,,hCoV-19/England/CAMC-145B5F1/2021,
,,EPI_ISL_822233,,,hCoV-19/England/ALDP-DCB08C/2020,
,,EPI_ISL_1986554,,,hCoV-19/England/MILK-15518E2/2021,
,,EPI_ISL_2004736,,,hCoV-19/England/MILK-155998D/2021,
,,EPI_ISL_2004642,,,hCoV-19/England/MILK-1559BB4/2021,
,,EPI_ISL_2126023,,,hCoV-19/England/LOND-128DFFA/2021,
,,EPI_ISL_2152861,,,hCoV-19/Scotland/MILK-15763F5/2021,
,,EPI_ISL_2138388,,,hCoV-19/England/HSLL-1573C48/2021,
,,EPI_ISL_2152940,,,hCoV-19/Scotland/QEUH-157A1BB/2021,
,,EPI_ISL_763769,,,hCoV-19/England/NORW-F24BA/2020,
,,EPI_ISL_782469,,,hCoV-19/England/QEUH-CCC471/2020,
,,EPI_ISL_2171848,,,hCoV-19/England/ALDP-157E2A5/2021,
,,EPI_ISL_3776707,,,hCoV-19/England/PHEC-U307U464/2021,
,,EPI_ISL_837059,,,hCoV-19/England/210221005/2021,
,,EPI_ISL_836600,,,hCoV-19/England/CAMC-EDE708/2021,
,,EPI_ISL_863626,,,hCoV-19/England/MILK-FCF0C2/2021,
,,EPI_ISL_1487831,,,hCoV-19/England/CAMC-148486F/2021,
,,EPI_ISL_880926,,,hCoV-19/England/MILK-102EAA1/2021,
,,EPI_ISL_1487857,,,hCoV-19/England/CAMC-145B8F8/2021,
,,EPI_ISL_1504860,,,hCoV-19/England/CAMC-14A4F55/2021,
,,EPI_ISL_1506139,,,hCoV-19/England/CAMC-149A24A/2021,
,,EPI_ISL_916371,,,hCoV-19/England/CAMC-1105043/2021,
,,EPI_ISL_945136,,,hCoV-19/England/QEUH-D5570A/2020,
,,EPI_ISL_1584155,,,hCoV-19/England/CAMC-14C2C3C/2021,
,,EPI_ISL_1505150,,,hCoV-19/England/CAMC-14ABB5A/2021,
,,EPI_ISL_1545908,,,hCoV-19/Scotland/EDB17117/2021,
,,EPI_ISL_1698499,,,hCoV-19/England/ALDP-1508AA8/2021,
,,EPI_ISL_1698431,,,hCoV-19/England/CAMC-1507D0A/2021,
,,EPI_ISL_2004738,,,hCoV-19/England/MILK-1557A31/2021,
,,EPI_ISL_2606531,,,hCoV-19/England/MILK-16939D1/2021,
,,EPI_ISL_1730824,,,hCoV-19/England/PORT-1E6F97C/2021,
,,EPI_ISL_4308514,,,hCoV-19/England/PHEC-Y304YDA8/2021,
,,EPI_ISL_1505063,,,hCoV-19/England/MILK-148C041/2021,
,,EPI_ISL_1741418,,,hCoV-19/England/MILK-1517A2E/2021,
,,EPI_ISL_1454551,,,hCoV-19/England/CAMC-142DC7B/2021,
,,EPI_ISL_2253232,,,hCoV-19/England/HSLL-159767D/2021,
,,EPI_ISL_837196,,,hCoV-19/England/210241183/2021,
,,EPI_ISL_1505662,,,hCoV-19/England/ALDP-14AB914/2021,
,,EPI_ISL_777266,,,hCoV-19/England/ALDP-C8E7FA/2020,
,,EPI_ISL_2005445,,,hCoV-19/England/MILK-154235C/2021,
,,EPI_ISL_1177606,,,hCoV-19/England/BIRM-BCYF89/2021,
,,EPI_ISL_878114,,,hCoV-19/England/ALDP-106490C/2021,
,,EPI_ISL_1206497,,,hCoV-19/England/CAMC-13404F3/2021,
,,EPI_ISL_1473494,,,hCoV-19/England/CAMC-1484B39/2021,
,,EPI_ISL_2004413,,,hCoV-19/England/RAND-1555E0A/2021,
,,EPI_ISL_1975120,,,hCoV-19/England/LOND-12F9DD1/2021,
,,EPI_ISL_1615786,,,hCoV-19/England/MILK-14E8E85/2021,
,,EPI_ISL_1987247,,,hCoV-19/England/MILK-154CBA5/2021,
,,EPI_ISL_949411,,,hCoV-19/England/BIRM-71064/2021,
,,EPI_ISL_1326710,,,hCoV-19/England/CAMC-13DC69C/2021,
,,EPI_ISL_916363,,,hCoV-19/England/CAMC-10FAE57/2021,
,,EPI_ISL_2511597,,,hCoV-19/England/MILK-163200C/2021,
,,EPI_ISL_1410184,,,hCoV-19/England/CAMC-141C0FB/2021,
,,EPI_ISL_1700485,,,hCoV-19/England/CAMC-14F22F5/2021,
,,EPI_ISL_1332836,,,hCoV-19/England/CAMC-139C935/2021,
,,EPI_ISL_836574,,,hCoV-19/England/CAMC-ED615D/2021,
,,EPI_ISL_1615922,,,hCoV-19/England/CAMC-14E80AD/2021,
,,EPI_ISL_2780700,,,hCoV-19/England/MILK-17B3916/2021,
,,EPI_ISL_989387,,,hCoV-19/England/CAMC-11E8FEF/2021,
,,EPI_ISL_1631690,,,hCoV-19/England/MILK-14BF494/2021,
,,EPI_ISL_1631997,,,hCoV-19/Wales/CAMC-14E001E/2021,
,,EPI_ISL_1653042,,,hCoV-19/England/CAMC-14F8893/2021,
,,EPI_ISL_1012736,,,hCoV-19/Wales/ALDP-1184FB8/2021,
,,EPI_ISL_1243867,,,hCoV-19/England/ALDP-136EBBE/2021,
,,EPI_ISL_1034013,,,hCoV-19/England/MILK-1260670/2021,
,,EPI_ISL_1583927,,,hCoV-19/England/CAMC-14D2325/2021,
,,EPI_ISL_1454390,,,hCoV-19/England/ALDP-143CC4C/2021,
,,EPI_ISL_1377073,,,hCoV-19/England/CAMC-13EEF8D/2021,
,,EPI_ISL_2395689,,,hCoV-19/England/MILK-15C2B89/2021,
,,EPI_ISL_1389775,,,hCoV-19/Scotland/QEUH-1425F3E/2021,
,,EPI_ISL_1615906,,,hCoV-19/England/CAMC-14E7EC2/2021,
,,EPI_ISL_821036,,,hCoV-19/England/ALDP-E2E60C/2021,
,,EPI_ISL_1830803,,,hCoV-19/England/ALDP-152F71D/2021,
,,EPI_ISL_2511807,,,hCoV-19/England/MILK-16314E3/2021,
,,EPI_ISL_2736566,,,hCoV-19/England/PHEC-157485/2021,
,,EPI_ISL_1451477,,,hCoV-19/England/RAND-1458AD7/2021,
,,EPI_ISL_1072649,,,hCoV-19/England/ALDP-12B8F8D/2021,
,,EPI_ISL_907655,,,hCoV-19/England/QEUH-10EF356/2021,
,,EPI_ISL_2517311,,,hCoV-19/England/LOND-128E982/2021,
,,EPI_ISL_953073,,,hCoV-19/England/TFCI-270348C/2021,
,,EPI_ISL_1630981,,,hCoV-19/England/ALDP-14EE12C/2021,
,,EPI_ISL_1758921,,,hCoV-19/England/RAND-1515E15/2021,
,,EPI_ISL_1487094,,,hCoV-19/England/MILK-148E3FB/2021,
,,EPI_ISL_770466,,,hCoV-19/England/205300069/2020,
,,EPI_ISL_1673094,,,hCoV-19/England/CAMC-14E6977/2021,
,,EPI_ISL_3776727,,,hCoV-19/England/PHEC-U307U5DA/2021,
,,EPI_ISL_1912108,,,hCoV-19/England/MILK-1541584/2021,
,,EPI_ISL_1207694,,,hCoV-19/England/MILK-134A22C/2021,
,,EPI_ISL_1719084,,,hCoV-19/England/CAMC-1510ABC/2021,
,,EPI_ISL_1631303,,,hCoV-19/England/CAMC-14E73E1/2021,
,,EPI_ISL_1244878,,,hCoV-19/England/CAMC-137A320/2021,
,,EPI_ISL_1376816,,,hCoV-19/England/RAND-13F1D41/2021,
,,EPI_ISL_1741465,,,hCoV-19/England/MILK-1515325/2021,
,,EPI_ISL_922759,,,hCoV-19/Wales/PHWC-4BC6A3/2021,
,,EPI_ISL_1473680,,,hCoV-19/England/CAMC-145B667/2021,
,,EPI_ISL_1653463,,,hCoV-19/England/CAMC-14F394A/2021,
,,EPI_ISL_1653417,,,hCoV-19/England/CAMC-14F3C14/2021,
,,EPI_ISL_937954,,,hCoV-19/England/MILK-1152B46/2021,
,,EPI_ISL_1698461,,,hCoV-19/England/CAMC-1508CEE/2021,
,,EPI_ISL_1327567,,,hCoV-19/England/CAMC-13D43E8/2021,
,,EPI_ISL_1327665,,,hCoV-19/England/CAMC-13D4579/2021,
,,EPI_ISL_3225882,,,hCoV-19/England/MILK-1A3AC1B/2021,
,,EPI_ISL_2737107,,,hCoV-19/England/PHEC-159878/2021,
,,EPI_ISL_3140975,,,hCoV-19/Scotland/QEUH-19E3A09/2021,
,,EPI_ISL_1986951,,,hCoV-19/England/MILK-154E8BB/2021,
,,EPI_ISL_2005266,,,hCoV-19/England/QEUH-153DBA7/2021,
,,EPI_ISL_2138523,,,hCoV-19/England/HSLL-1573E42/2021,
,,EPI_ISL_1719466,,,hCoV-19/England/CAMC-150DD31/2021,
,,EPI_ISL_1718983,,,hCoV-19/England/MILK-1513E62/2021,
,,EPI_ISL_1730827,,,hCoV-19/England/PORT-1E6F9A9/2021,
,,EPI_ISL_1730830,,,hCoV-19/England/PORT-1E6F9D6/2021,
,,EPI_ISL_1730822,,,hCoV-19/England/PORT-1E6F95E/2021,
,,EPI_ISL_1741335,,,hCoV-19/England/MILK-15153CB/2021,
,,EPI_ISL_1594482,,,hCoV-19/England/CAMC-14E000F/2021,
,,EPI_ISL_2741511,,,hCoV-19/England/PHEC-308E83/2021,
,,EPI_ISL_1741661,,,hCoV-19/Scotland/QEUH-150B191/2021,
,,EPI_ISL_1344538,,,hCoV-19/England/RAND-13EB102/2021,
,,EPI_ISL_1832335,,,hCoV-19/England/GSTT-210205GNBC95/2021,
,,EPI_ISL_1698518,,,hCoV-19/England/ALDP-1507A30/2021,
,,EPI_ISL_1327622,,,hCoV-19/England/CAMC-13D4728/2021,
,,EPI_ISL_3776020,,,hCoV-19/England/PHEC-T30BT5F4/2021,
,,EPI_ISL_1519095,,,hCoV-19/England/QEUH-14A3615/2021,
,,EPI_ISL_1327519,,,hCoV-19/England/CAMC-13D49D7/2021,
,,EPI_ISL_1327656,,,hCoV-19/England/CAMC-13D2EAD/2021,
,,EPI_ISL_1411495,,,hCoV-19/England/RAND-143CF43/2021,
,,EPI_ISL_1330778,,,hCoV-19/England/MILK-13CB2E7/2021,
,,EPI_ISL_2608289,,,hCoV-19/England/CAMC-14E5204/2021,
,,EPI_ISL_1806621,,,hCoV-19/England/MILK-152C68C/2021,
,,EPI_ISL_2538830,,,hCoV-19/England/MILK-1649CFF/2021,
,,EPI_ISL_1101750,,,hCoV-19/England/RAND-12D797B/2021,
,,EPI_ISL_1052553,,,hCoV-19/Wales/PHWC-4C747E/2021,
,,EPI_ISL_2736900,,,hCoV-19/England/PHEC-15883D/2021,
,,EPI_ISL_1377466,,,hCoV-19/England/MILK-140176D/2021,
,,EPI_ISL_1985804,,,hCoV-19/England/MILK-1552E76/2021,
,,EPI_ISL_1857895,,,hCoV-19/England/MILK-1542811/2021,
,,EPI_ISL_1256464,,,hCoV-19/England/CAMC-134E63B/2021,
,,EPI_ISL_1858233,,,hCoV-19/England/QEUH-153FCB1/2021,
,,EPI_ISL_1632062,,,hCoV-19/England/RAND-14E1F3E/2021,
,,EPI_ISL_1122638,,,hCoV-19/England/MILK-1305B9B/2021,
,,EPI_ISL_1224460,,,hCoV-19/England/MILK-1383C74/2021,
,,EPI_ISL_1275574,,,hCoV-19/England/CAMC-13A50AD/2021,
,,EPI_ISL_2736519,,,hCoV-19/England/PHEC-1572C7/2021,
,,EPI_ISL_2392826,,,hCoV-19/England/MILK-15DDA60/2021,
,,EPI_ISL_1912741,,,hCoV-19/Scotland/QEUH-15401BE/2021,
,,EPI_ISL_3776862,,,hCoV-19/England/PHEC-U307UF81/2021,
,,EPI_ISL_1386538,,,hCoV-19/England/BIRM-BCNNXQ/2021,
,,EPI_ISL_1921221,,,hCoV-19/England/ALDP-154D755/2021,
,,EPI_ISL_1249305,,,hCoV-19/Wales/PHWC-4D7C73/2021,
,,EPI_ISL_1050732,,,hCoV-19/England/MILK-11A6FED/2021,
,,EPI_ISL_2437530,,,hCoV-19/England/ALDP-15E434D/2021,
,,EPI_ISL_821194,,,hCoV-19/England/ALDP-E2E569/2021,
,,EPI_ISL_1504678,,,hCoV-19/England/CAMC-14A521F/2021,
,,EPI_ISL_989996,,,hCoV-19/Scotland/QEUH-CC4EB7/2020,
,,EPI_ISL_718682,,,hCoV-19/England/ALDP-C497BF/2020,
,,EPI_ISL_1411783,,,hCoV-19/England/RAND-143D1B5/2021,
,,EPI_ISL_2512677,,,hCoV-19/England/MILK-163769C/2021,
,,EPI_ISL_1912745,,,hCoV-19/Scotland/QEUH-153FE51/2021,
,,EPI_ISL_1630915,,,hCoV-19/England/ALDP-14EDC59/2021,
,,EPI_ISL_1177750,,,hCoV-19/Scotland/EDB16116/2021,
,,EPI_ISL_946854,,,hCoV-19/England/ALDP-11957BC/2021,
,,EPI_ISL_2353517,,,hCoV-19/England/MILK-15B79E7/2021,
,,EPI_ISL_1741411,,,hCoV-19/England/MILK-1515440/2021,
,,EPI_ISL_957533,,,hCoV-19/England/MILK-11D2364/2021,
,,EPI_ISL_2554885,,,hCoV-19/Wales/ALDP-164D499/2021,
,,EPI_ISL_1411446,,,hCoV-19/England/RAND-1435E7A/2021,
,,EPI_ISL_2121149,,,hCoV-19/Scotland/QEUH-1566D54/2021,
,,EPI_ISL_868521,,,hCoV-19/England/SHEF-10CEBA0/2021,
