,authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab,lineage
2018,,,EPI_ISL_15212779,,,hCoV-19/Wales/PHWC-PKRGGN/2022,,ba_4
2019,,,EPI_ISL_13376257,,,hCoV-19/England/LSPA-3E5E998/2022,,ba_4
2020,,,EPI_ISL_12705226,,,hCoV-19/England/PHEC-YYFGMHM/2022,,ba_4
2021,,,EPI_ISL_13844349,,,hCoV-19/England/QEUH-3EC2A14/2022,,ba_4
2022,,,EPI_ISL_13399209,,,hCoV-19/England/QEUH-3E5D98A/2022,,ba_4
2023,,,EPI_ISL_14041152,,,hCoV-19/England/LSPA-3ED5CCD/2022,,ba_4
2024,,,EPI_ISL_14509404,,,hCoV-19/England/PHEC-YYGURSN/2022,,ba_4
2025,,,EPI_ISL_15539953,,,hCoV-19/England/PHEP-YYF5QKN/2022,,ba_4
2026,,,EPI_ISL_15170658,,,hCoV-19/England/PHEC-YYG56I4/2022,,ba_4
2027,,,EPI_ISL_13603701,,,hCoV-19/Scotland/LSPA-3E8401C/2022,,ba_4
2028,,,EPI_ISL_14301301,,,hCoV-19/England/PHEC-YYGPJFP/2022,,ba_4
2029,,,EPI_ISL_13716644,,,hCoV-19/Wales/PHWC-PJ7HES/2022,,ba_4
2030,,,EPI_ISL_14020630,,,hCoV-19/England/PLYM-3EEF792/2022,,ba_4
2031,,,EPI_ISL_15473617,,,hCoV-19/England/LSPA-325ABA92/2022,,ba_4
2032,,,EPI_ISL_13498569,,,hCoV-19/England/LSPA-3E74440/2022,,ba_4
2033,,,EPI_ISL_15283395,,,hCoV-19/England/PHEC-YYG7UHU/2022,,ba_4
2034,,,EPI_ISL_14023954,,,hCoV-19/England/PHEC-YYGBYIP/2022,,ba_4
2035,,,EPI_ISL_13798235,,,hCoV-19/England/PHEC-YYF3O65/2022,,ba_4
2036,,,EPI_ISL_13538058,,,hCoV-19/England/QEUH-3E7C09F/2022,,ba_4
2037,,,EPI_ISL_13419538,,,hCoV-19/England/LSPA-3E676A4/2022,,ba_4
2038,,,EPI_ISL_14354171,,,hCoV-19/England/PHEP-YYFTEPS/2022,,ba_4
2039,,,EPI_ISL_15168716,,,hCoV-19/England/QEUH-3ED0FE7/2022,,ba_4
2040,,,EPI_ISL_13338667,,,hCoV-19/Scotland/LSPA-3E51081/2022,,ba_4
2041,,,EPI_ISL_13338108,,,hCoV-19/England/LSPA-3E530CB/2022,,ba_4
2042,,,EPI_ISL_13517888,,,hCoV-19/Northern Ireland/NIRE-01d7a9/2022,,ba_4
2043,,,EPI_ISL_13470973,,,hCoV-19/England/LSPA-3E735B7/2022,,ba_4
2044,,,EPI_ISL_14196828,,,hCoV-19/England/PHEC-YYGEO5D/2022,,ba_4
2045,,,EPI_ISL_14470298,,,hCoV-19/England/LSPA-3F57B7A/2022,,ba_4
2046,,,EPI_ISL_13733677,,,hCoV-19/England/LSPA-3EB7599/2022,,ba_4
2047,,,EPI_ISL_14969880,,,hCoV-19/Scotland/PLYM-3F8C945/2022,,ba_4
2048,,,EPI_ISL_13657067,,,hCoV-19/Northern Ireland/QEUH-3E7BE78/2022,,ba_4
2049,,,EPI_ISL_14165082,,,hCoV-19/England/LSPA-3F06AF5/2022,,ba_4
2050,,,EPI_ISL_13566748,,,hCoV-19/England/LSPA-3E84708/2022,,ba_4
2051,,,EPI_ISL_13471205,,,hCoV-19/England/LSPA-3E6B1CD/2022,,ba_4
2052,,,EPI_ISL_14232988,,,hCoV-19/Scotland/LSPA-3F22C1B/2022,,ba_5
2053,,,EPI_ISL_15128100,,,hCoV-19/Wales/LSPA-2C4CB17D/2022,,ba_5
2054,,,EPI_ISL_14166524,,,hCoV-19/England/LSPA-3F01465/2022,,ba_5
2055,,,EPI_ISL_15909841,,,hCoV-19/Scotland/LSPA-325F4371/2022,,ba_5
2056,,,EPI_ISL_14020593,,,hCoV-19/England/QEUH-3EEEBF1/2022,,ba_5
2057,,,EPI_ISL_13987791,,,hCoV-19/England/PHEC-YYGYCOP/2022,,ba_5
2058,,,EPI_ISL_15432308,,,hCoV-19/England/PHEC-YY8DRXT/2022,,ba_5
2059,,,EPI_ISL_13906237,,,hCoV-19/England/PHEC-YYF67R3/2022,,ba_5
2060,,,EPI_ISL_13617169,,,hCoV-19/Wales/PHWC-PJ7SUF/2022,,ba_5
2061,,,EPI_ISL_14995548,,,hCoV-19/England/PHEP-YYFIKAI/2022,,ba_5
2062,,,EPI_ISL_17097336,,,hCoV-19/England/QEUH-326DD595/2023,,ba_5
2063,,,EPI_ISL_14086829,,,hCoV-19/England/PLYM-3EFE912/2022,,ba_5
2064,,,EPI_ISL_14296271,,,hCoV-19/England/QEUH-3F3D3DC/2022,,ba_5
2065,,,EPI_ISL_13470709,,,hCoV-19/England/LSPA-3E71D2A/2022,,ba_5
2066,,,EPI_ISL_14493202,,,hCoV-19/England/LSPA-3F5ABFF/2022,,ba_5
2067,,,EPI_ISL_15211860,,,hCoV-19/England/PHEC-YYGH5ZZ/2022,,ba_5
2068,,,EPI_ISL_15761146,,,hCoV-19/Wales/PHWC-PKG7XI/2022,,ba_5
2069,,,EPI_ISL_16547433,,,hCoV-19/Scotland/SCOT-23005/2022,,ba_5
2070,,,EPI_ISL_15282525,,,hCoV-19/England/LSPA-3258A088/2022,,ba_5
2071,,,EPI_ISL_13741557,,,hCoV-19/England/PHEC-YYFS3YI/2022,,ba_5
2072,,,EPI_ISL_16109202,,,hCoV-19/England/PHEP-YYGBCS9/2022,,ba_5
2073,,,EPI_ISL_15385626,,,hCoV-19/England/LOND-YYBKWX3/2022,,ba_5
2074,,,EPI_ISL_14131458,,,hCoV-19/Northern Ireland/PLYM-3EF7F17/2022,,ba_5
2075,,,EPI_ISL_14211404,,,hCoV-19/England/LSPA-3F28D4F/2022,,ba_5
2076,,,EPI_ISL_15525788,,,hCoV-19/Scotland/SCOT-19957/2022,,ba_5
2077,,,EPI_ISL_14024906,,,hCoV-19/England/PHEP-YYFCHCX/2022,,ba_5
2078,,,EPI_ISL_15211819,,,hCoV-19/England/PHEC-YYGH4EZ/2022,,ba_5
2079,,,EPI_ISL_14911272,,,hCoV-19/England/LSPA-3F7DEEE/2022,,ba_5
2080,,,EPI_ISL_15713642,,,hCoV-19/England/LSPA-325E0378/2022,,ba_5
2081,,,EPI_ISL_15580181,,,hCoV-19/England/PHEC-YY8EXJE/2022,,ba_5
2082,,,EPI_ISL_13798873,,,hCoV-19/Wales/PHWC-PJ645X/2022,,ba_5
2083,,,EPI_ISL_13733248,,,hCoV-19/England/LSPA-3EB32C3/2022,,ba_5
2084,,,EPI_ISL_14812725,,,hCoV-19/England/PHEP-YYFW14M/2022,,ba_5
2085,,,EPI_ISL_16072009,,,hCoV-19/England/LSPA-3260790F/2022,,ba_5
2086,,,EPI_ISL_14143210,,,hCoV-19/England/PHEP-YYFP5BR/2022,,ba_5
2087,,,EPI_ISL_15774761,,,hCoV-19/England/LSPA-325E6952/2022,,ba_5
2088,,,EPI_ISL_14300172,,,hCoV-19/England/PHEC-YYGM4OJ/2022,,ba_5
2089,,,EPI_ISL_16005708,,,hCoV-19/Scotland/SCOT-21307/2022,,ba_5
2090,,,EPI_ISL_13840929,,,hCoV-19/England/PHEC-YYF419I/2022,,ba_5
2091,,,EPI_ISL_16282143,,,hCoV-19/Scotland/SCOT-22322/2022,,ba_5
2092,,,EPI_ISL_13733455,,,hCoV-19/England/LSPA-3EB8E51/2022,,ba_5
2093,,,EPI_ISL_16565266,,,hCoV-19/England/PHEP-YYGF9BX/2022,,ba_5
2094,,,EPI_ISL_13419267,,,hCoV-19/England/LSPA-3E65E35/2022,,ba_5
2095,,,EPI_ISL_14259228,,,hCoV-19/England/PHEC-YYGKXJF/2022,,ba_5
2096,,,EPI_ISL_16750279,,,hCoV-19/England/PHEP-YYGETGP/2023,,ba_5
2097,,,EPI_ISL_14020417,,,hCoV-19/England/PLYM-3EEC4F8/2022,,ba_5
2098,,,EPI_ISL_15812244,,,hCoV-19/England/QEUH-325EB38C/2022,,ba_5
2099,,,EPI_ISL_13953439,,,hCoV-19/Wales/PHWC-PJ9QNC/2022,,ba_5
2100,,,EPI_ISL_13881173,,,hCoV-19/England/PHEC-YYFH6NY/2022,,ba_5
2101,,,EPI_ISL_15019935,,,hCoV-19/England/QEUH-15204741/2022,,ba_5
2102,,,EPI_ISL_16333385,,,hCoV-19/England/LSPA-3263D038/2022,,ba_5
2103,,,EPI_ISL_13880295,,,hCoV-19/England/PHEC-YYF5GN4/2022,,ba_5
2104,,,EPI_ISL_16856301,,,hCoV-19/England/PHEC-YY89HBH/2023,,ba_5
2105,,,EPI_ISL_15037199,,,hCoV-19/Scotland/QEUH-3F94467/2022,,ba_5
2106,,,EPI_ISL_15811821,,,hCoV-19/England/LSPA-325EE19E/2022,,ba_5
2107,,,EPI_ISL_14700127,,,hCoV-19/England/PHEC-YYGI4C7/2022,,ba_5
2108,,,EPI_ISL_13657634,,,hCoV-19/England/PHEP-YYFD4X7/2022,,ba_5
2109,,,EPI_ISL_14351711,,,hCoV-19/England/LSPA-3F4BC76/2022,,ba_5
2110,,,EPI_ISL_13567006,,,hCoV-19/England/LSPA-3E8A6AB/2022,,ba_5
2111,,,EPI_ISL_15419387,,,hCoV-19/Wales/PHWC-PKR9JD/2022,,ba_5
2112,,,EPI_ISL_15786199,,,hCoV-19/Wales/QEUH-325DC4C7/2022,,ba_5
2113,,,EPI_ISL_15474487,,,hCoV-19/England/PHEC-YY8F8JS/2022,,ba_5
2114,,,EPI_ISL_15579993,,,hCoV-19/England/PHEC-YY8EP5F/2022,,ba_5
2115,,,EPI_ISL_16560797,,,hCoV-19/England/LSPA-3269B654/2023,,ba_5
2116,,,EPI_ISL_15468056,,,hCoV-19/England/LSPA-325A42BF/2022,,ba_5
2117,,,EPI_ISL_15468613,,,hCoV-19/England/QEUH-325ADF91/2022,,ba_5
2118,,,EPI_ISL_13441578,,,hCoV-19/England/LSPA-3E697FA/2022,,ba_5
2119,,,EPI_ISL_15838291,,,hCoV-19/England/PHEC-YY8PR66/2022,,ba_5
2120,,,EPI_ISL_13516548,,,hCoV-19/England/QEUH-3E6DCD9/2022,,ba_5
2121,,,EPI_ISL_15127814,,,hCoV-19/England/LSPA-32578199/2022,,ba_5
2122,,,EPI_ISL_14143252,,,hCoV-19/England/PHEP-YYFP74X/2022,,ba_5
2123,,,EPI_ISL_13969186,,,hCoV-19/England/PHEC-YYF9OGY/2022,,ba_5
2124,,,EPI_ISL_15740989,,,hCoV-19/England/QEUH-325E1EEF/2022,,ba_5
2125,,,EPI_ISL_14196867,,,hCoV-19/England/PHEC-YYGEQ3J/2022,,ba_5
2126,,,EPI_ISL_15473627,,,hCoV-19/England/QEUH-325B2333/2022,,ba_5
2127,,,EPI_ISL_15909893,,,hCoV-19/England/QEUH-325F2935/2022,,ba_5
2128,,,EPI_ISL_16095263,,,hCoV-19/England/LSPA-3260B631/2022,,ba_5
2129,,,EPI_ISL_15473275,,,hCoV-19/England/QEUH-325B5761/2022,,ba_5
2130,,,EPI_ISL_16282199,,,hCoV-19/Scotland/SCOT-22451/2022,,ba_5
2131,,,EPI_ISL_14039854,,,hCoV-19/England/LSPA-3EF83FC/2022,,ba_5
2132,,,EPI_ISL_15540026,,,hCoV-19/England/PHEP-YYF5XM9/2022,,ba_5
2133,,,EPI_ISL_16645465,,,hCoV-19/England/BRBR-326A21E0/2023,,ba_5
2134,,,EPI_ISL_14212439,,,hCoV-19/England/PHEP-YYFX4EU/2022,,ba_5
2135,,,EPI_ISL_15301950,,,hCoV-19/England/QEUH-3258DEF4/2022,,ba_5
2136,,,EPI_ISL_16442460,,,hCoV-19/England/BRBR-3267A1E1/2022,,ba_5
2137,,,EPI_ISL_17549381,,,hCoV-19/Wales/PHWC-PKXT89/2023,,ba_5
2138,,,EPI_ISL_13711625,,,hCoV-19/England/LSPA-3EB0B9E/2022,,ba_5
2139,,,EPI_ISL_14354643,,,hCoV-19/Scotland/SCOT-17201/2022,,ba_5
2140,,,EPI_ISL_13739315,,,hCoV-19/England/LSPA-3EBCE8A/2022,,ba_5
2141,,,EPI_ISL_14259433,,,hCoV-19/England/PHEP-YYFORZ8/2022,,ba_5
2142,,,EPI_ISL_16407647,,,hCoV-19/Scotland/LSPA-32642AF6/2022,,ba_5
2143,,,EPI_ISL_15926482,,,hCoV-19/Wales/PHWC-PK81GO/2022,,ba_5
2144,,,EPI_ISL_14197127,,,hCoV-19/England/PHEC-YYGJYUB/2022,,ba_5
2145,,,EPI_ISL_15960778,,,hCoV-19/Scotland/QEUH-325FA34E/2022,,ba_5
2146,,,EPI_ISL_15418417,,,hCoV-19/England/LSPA-325A5D35/2022,,ba_5
2147,,,EPI_ISL_14909030,,,hCoV-19/England/QEUH-3F81D62/2022,,ba_5
2148,,,EPI_ISL_13715985,,,hCoV-19/England/PHEC-YYFW6XS/2022,,ba_5
2149,,,EPI_ISL_13882516,,,hCoV-19/England/PHEP-YYFKIZD/2022,,ba_5
2150,,,EPI_ISL_16351665,,,hCoV-19/England/PHEP-YYGDGNK/2022,,ba_5
2151,,,EPI_ISL_16526027,,,hCoV-19/Wales/PHWC-PKKFBB/2022,,ba_5
2152,,,EPI_ISL_14919046,,,hCoV-19/Northern Ireland/NIRE-01dc3f/2022,,ba_5
2153,,,EPI_ISL_16722189,,,hCoV-19/England/PHEC-YY8H9JX/2023,,ba_5
2154,,,EPI_ISL_14969797,,,hCoV-19/England/PLYM-3F91BA1/2022,,ba_5
2155,,,EPI_ISL_15348156,,,hCoV-19/Scotland/SCOT-19679/2022,,ba_5
2156,,,EPI_ISL_14019712,,,hCoV-19/England/PLYM-3EF3B53/2022,,ba_5
2157,,,EPI_ISL_15812123,,,hCoV-19/Scotland/LSPA-325ECD6F/2022,,ba_5
2158,,,EPI_ISL_13694642,,,hCoV-19/Scotland/SCOT-14135/2022,,ba_5
2159,,,EPI_ISL_14258990,,,hCoV-19/England/PHEC-YYGKOC6/2022,,ba_5
2160,,,EPI_ISL_14173277,,,hCoV-19/England/PHEP-YYFX1N8/2022,,ba_5
2161,,,EPI_ISL_13277728,,,hCoV-19/Scotland/LSPA-3E4284F/2022,,ba_5
2162,,,EPI_ISL_13566600,,,hCoV-19/England/LSPA-3E82D71/2022,,ba_5
2163,,,EPI_ISL_14389968,,,hCoV-19/Scotland/SCOT-17460/2022,,ba_5
2164,,,EPI_ISL_16676770,,,hCoV-19/England/QEUH-326A4078/2023,,ba_5
2165,,,EPI_ISL_15938920,,,hCoV-19/England/LSPA-325FCB35/2022,,ba_5
2166,,,EPI_ISL_14194394,,,hCoV-19/England/QEUH-3F09791/2022,,ba_5
2167,,,EPI_ISL_14086922,,,hCoV-19/Scotland/PLYM-3EFD03C/2022,,ba_5
2168,,,EPI_ISL_15495662,,,hCoV-19/Scotland/LSPA-325B94C0/2022,,ba_5
2169,,,EPI_ISL_14194161,,,hCoV-19/Scotland/LSPA-3F1689E/2022,,ba_5
2170,,,EPI_ISL_14700553,,,hCoV-19/England/PHEC-YYGSAM9/2022,,ba_5
2171,,,EPI_ISL_14259370,,,hCoV-19/England/PHEP-YYFOJBX/2022,,ba_5
2172,,,EPI_ISL_16750156,,,hCoV-19/England/PHEC-YY87I6C/2022,,ba_5
2173,,,EPI_ISL_13880658,,,hCoV-19/England/PHEC-YYF6FBZ/2022,,ba_5
2174,,,EPI_ISL_13906124,,,hCoV-19/England/PHEC-YYF61EH/2022,,ba_5
2175,,,EPI_ISL_13324820,,,hCoV-19/Scotland/LSPA-3E4CC0D/2022,,ba_5
2176,,,EPI_ISL_14786606,,,hCoV-19/Northern Ireland/NIRE-01e695/2022,,ba_5
2177,,,EPI_ISL_17154868,,,hCoV-19/Wales/PHWC-PKCO9I/2023,,ba_5
2178,,,EPI_ISL_13359180,,,hCoV-19/England/LSPA-3E5A6B3/2022,,ba_5
2179,,,EPI_ISL_14493590,,,hCoV-19/Northern Ireland/QEUH-3F4DFD5/2022,,ba_5
2180,,,EPI_ISL_15676784,,,hCoV-19/England/PLYM-325D83A0/2022,,ba_5
2181,,,EPI_ISL_15612511,,,hCoV-19/England/PHEC-YY8E5ID/2022,,ba_5
2182,,,EPI_ISL_15467903,,,hCoV-19/England/PLYM-325BB868/2022,,ba_5
2183,,,EPI_ISL_14919365,,,hCoV-19/England/PHEC-YYG3KB5/2022,,ba_5
2184,,,EPI_ISL_15344762,,,hCoV-19/England/LSPA-32592B31/2022,,ba_5
2185,,,EPI_ISL_15629108,,,hCoV-19/Scotland/LSPA-325C45CF/2022,,ba_5
2186,,,EPI_ISL_13968043,,,hCoV-19/Scotland/PLYM-3EE5635/2022,,ba_5
2187,,,EPI_ISL_15495637,,,hCoV-19/England/LSPA-325BE56E/2022,,ba_5
2188,,,EPI_ISL_17953488,,,hCoV-19/Scotland/SCOT-31566/2022,,ba_5
2189,,,EPI_ISL_13742855,,,hCoV-19/England/PHEP-YYF8TNA/2022,,ba_5
2190,,,EPI_ISL_16236832,,,hCoV-19/England/QEUH-3261C961/2022,,ba_5
2191,,,EPI_ISL_16142750,,,hCoV-19/England/PHEP-YYGBOQC/2022,,ba_5
2192,,,EPI_ISL_16179546,,,hCoV-19/England/PHEP-YYGB5WW/2022,,ba_5
2193,,,EPI_ISL_13743324,,,hCoV-19/Scotland/SCOT-14554/2022,,ba_5
2194,,,EPI_ISL_14090402,,,hCoV-19/England/PHEC-YYGROSI/2022,,ba_5
2195,,,EPI_ISL_14786831,,,hCoV-19/Wales/PHWC-PKDERG/2022,,ba_5
2196,,,EPI_ISL_13881061,,,hCoV-19/England/PHEC-YYFH1BQ/2022,,ba_5
2197,,,EPI_ISL_13739391,,,hCoV-19/England/LSPA-3EBD9A6/2022,,ba_5
2198,,,EPI_ISL_15854051,,,hCoV-19/England/LSPA-325F1CA6/2022,,ba_5
2199,,,EPI_ISL_13733118,,,hCoV-19/England/LSPA-3EB50A9/2022,,ba_5
2200,,,EPI_ISL_15296211,,,hCoV-19/England/LSPA-3258EA77/2022,,ba_5
2201,,,EPI_ISL_14387151,,,hCoV-19/England/LSPA-3F4FB48/2022,,ba_5
2202,,,EPI_ISL_13874577,,,hCoV-19/England/PLYM-3EDCD4B/2022,,ba_5
2203,,,EPI_ISL_14164134,,,hCoV-19/England/LSPA-3F1A724/2022,,ba_5
2204,,,EPI_ISL_15212974,,,hCoV-19/Scotland/SCOT-19433/2022,,ba_5
2205,,,EPI_ISL_16179730,,,hCoV-19/Scotland/SCOT-22062/2022,,ba_5
2206,,,EPI_ISL_15741462,,,hCoV-19/England/PHEC-YY8MXM6/2022,,ba_5
2207,,,EPI_ISL_16199099,,,hCoV-19/England/LSPA-3261F6B2/2022,,ba_5
2208,,,EPI_ISL_14022374,,,hCoV-19/Scotland/EDB64466/2022,,ba_5
2209,,,EPI_ISL_13733890,,,hCoV-19/England/LSPA-3EB1ACD/2022,,ba_5
2210,,,EPI_ISL_14812965,,,hCoV-19/Scotland/SCOT-18394/2022,,ba_5
2211,,,EPI_ISL_16028724,,,hCoV-19/Wales/PHWC-PK8HY1/2022,,ba_5
2212,,,EPI_ISL_15386813,,,hCoV-19/England/PHEP-YYF3Q4F/2022,,ba_5
2213,,,EPI_ISL_14020444,,,hCoV-19/England/PLYM-3EEBDB2/2022,,ba_5
2214,,,EPI_ISL_15629117,,,hCoV-19/England/LSPA-325C47C9/2022,,ba_5
2215,,,EPI_ISL_16236221,,,hCoV-19/England/LSPA-32625DE1/2022,,ba_5
2216,,,EPI_ISL_14065874,,,hCoV-19/England/QEUH-3EF690B/2022,,ba_5
2217,,,EPI_ISL_14494011,,,hCoV-19/England/PHEC-YYG1S7R/2022,,ba_5
2218,,,EPI_ISL_15648954,,,hCoV-19/England/QEUH-325C4899/2022,,ba_5
2219,,,EPI_ISL_13841123,,,hCoV-19/England/PHEC-YYF4AJH/2022,,ba_5
2220,,,EPI_ISL_14786813,,,hCoV-19/Wales/PHWC-PKDE5Z/2022,,ba_5
2221,,,EPI_ISL_14042018,,,hCoV-19/England/LSPA-3EBFFDF/2022,,ba_5
2222,,,EPI_ISL_14494227,,,hCoV-19/England/PHEP-YYF1EZ9/2022,,ba_5
2223,,,EPI_ISL_13603804,,,hCoV-19/Scotland/LSPA-3E8A8E1/2022,,ba_5
2224,,,EPI_ISL_14025464,,,hCoV-19/England/PHWC-PKYFJF/2022,,ba_5
2225,,,EPI_ISL_16213828,,,hCoV-19/England/PHEC-YY8TWT9/2022,,ba_5
2226,,,EPI_ISL_14812092,,,hCoV-19/Scotland/EDB70323/2022,,ba_5
2227,,,EPI_ISL_15418407,,,hCoV-19/England/LSPA-325A57DD/2022,,ba_5
2228,,,EPI_ISL_14164169,,,hCoV-19/England/LSPA-3F199F2/2022,,ba_5
2229,,,EPI_ISL_14087982,,,hCoV-19/Scotland/PLYM-3EF9DA2/2022,,ba_5
2230,,,EPI_ISL_15580290,,,hCoV-19/England/PHEC-YY8G4FJ/2022,,ba_5
2231,,,EPI_ISL_15203325,,,hCoV-19/Wales/LSPA-3257816C/2022,,ba_5
2232,,,EPI_ISL_16094893,,,hCoV-19/England/LSPA-32612A59/2022,,ba_5
2233,,,EPI_ISL_14701198,,,hCoV-19/Wales/PHWC-PKDD7A/2022,,ba_5
2234,,,EPI_ISL_14859025,,,hCoV-19/Scotland/SCOT-18592/2022,,ba_5
2235,,,EPI_ISL_13376461,,,hCoV-19/England/LSPA-3E5CC64/2022,,ba_5
2236,,,EPI_ISL_16390947,,,hCoV-19/Wales/QEUH-32622DA8/2022,,ba_5
2237,,,EPI_ISL_14233468,,,hCoV-19/Scotland/LSPA-3F290CD/2022,,ba_5
2238,,,EPI_ISL_16285517,,,hCoV-19/England/LSPA-3264015D/2022,,ba_5
2239,,,EPI_ISL_15682297,,,hCoV-19/England/PHEP-YYF6NGO/2022,,ba_5
2240,,,EPI_ISL_15613104,,,hCoV-19/England/LSPA-325D2E96/2022,,ba_5
2241,,,EPI_ISL_14040851,,,hCoV-19/Scotland/LSPA-3ED888A/2022,,ba_5
2242,,,EPI_ISL_13610519,,,hCoV-19/England/LSPA-3E8BB6F/2022,,ba_5
2243,,,EPI_ISL_16406996,,,hCoV-19/England/BRBR-3265841D/2022,,ba_5
2244,,,EPI_ISL_15072062,,,hCoV-19/England/PHEC-YYG47NR/2022,,ba_5
2245,,,EPI_ISL_15345291,,,hCoV-19/Scotland/LSPA-32598870/2022,,ba_5
2246,,,EPI_ISL_15475343,,,hCoV-19/England/PHEP-YYF43BM/2022,,ba_5
2247,,,EPI_ISL_13616331,,,hCoV-19/England/PHEP-YYFD1Q8/2022,,ba_5
2248,,,EPI_ISL_14089715,,,hCoV-19/Scotland/EDB67118/2022,,ba_5
2249,,,EPI_ISL_14301628,,,hCoV-19/England/PHEC-YYGPY3P/2022,,ba_5
2250,,,EPI_ISL_13841744,,,hCoV-19/England/PHEC-YYF4WTX/2022,,ba_5
2251,,,EPI_ISL_15960553,,,hCoV-19/England/LSPA-325FB811/2022,,ba_5
2252,,,EPI_ISL_16829732,,,hCoV-19/Scotland/SCOT-24343/2023,,ba_5
2253,,,EPI_ISL_14299784,,,hCoV-19/Scotland/EDB67808/2022,,ba_5
2254,,,EPI_ISL_15677557,,,hCoV-19/Scotland/QEUH-325C6E3B/2022,,ba_5
2255,,,EPI_ISL_14772251,,,hCoV-19/England/PHEP-YYFW8UR/2022,,ba_5
2256,,,EPI_ISL_15601022,,,hCoV-19/England/LSPA-325D2889/2022,,ba_5
2257,,,EPI_ISL_16390474,,,hCoV-19/England/BRBR-3265C32B/2022,,ba_5
2258,,,EPI_ISL_18028814,,,hCoV-19/England/QEUH-32578A43/2022,,ba_5
2259,,,EPI_ISL_15801029,,,hCoV-19/England/PHEC-YY8CAHO/2022,,ba_5
2260,,,EPI_ISL_13743233,,,hCoV-19/Scotland/SCOT-14440/2022,,ba_5
2261,,,EPI_ISL_13658002,,,hCoV-19/England/PHEP-YYFGY1K/2022,,ba_5
2262,,,EPI_ISL_14259423,,,hCoV-19/England/PHEP-YYFORMY/2022,,ba_5
2263,,,EPI_ISL_13694754,,,hCoV-19/Scotland/SCOT-14261/2022,,ba_5
2264,,,EPI_ISL_14193877,,,hCoV-19/England/LSPA-3F2014B/2022,,ba_5
2265,,,EPI_ISL_13609943,,,hCoV-19/England/LSPA-3E91C90/2022,,ba_5
2266,,,EPI_ISL_14910982,,,hCoV-19/England/LSPA-3F87986/2022,,ba_5
2267,,,EPI_ISL_13613948,,,hCoV-19/England/QEUH-3E8C06F/2022,,ba_5
2268,,,EPI_ISL_13716556,,,hCoV-19/Wales/PHWC-PJ75ND/2022,,ba_5
2269,,,EPI_ISL_13610564,,,hCoV-19/England/LSPA-3E8C3DF/2022,,ba_5
2270,,,EPI_ISL_16824587,,,hCoV-19/England/BRBR-326B29B8/2023,,ba_5
2271,,,EPI_ISL_14387155,,,hCoV-19/England/LSPA-3F4DED8/2022,,ba_5
2272,,,EPI_ISL_15650176,,,hCoV-19/England/PHEC-YY8JOKD/2022,,ba_5
2273,,,EPI_ISL_16300408,,,hCoV-19/Wales/PHWC-PKE9TK/2022,,ba_5
2274,,,EPI_ISL_15854169,,,hCoV-19/England/LSPA-325F108C/2022,,ba_5
2275,,,EPI_ISL_15998979,,,hCoV-19/England/LSPA-325FFD2D/2022,,ba_5
2276,,,EPI_ISL_16846216,,,hCoV-19/Northern Ireland/NIRE-01fcce/2022,,ba_5
2277,,,EPI_ISL_16877986,,,hCoV-19/England/PHEC-YYEYC18/2023,,ba_5
2278,,,EPI_ISL_14607238,,,hCoV-19/England/LSPA-3F3EA21/2022,,ba_5
2279,,,EPI_ISL_16274400,,,hCoV-19/England/LSPA-32632534/2022,,ba_5
2280,,,EPI_ISL_15758683,,,hCoV-19/England/QEUH-325E4FCB/2022,,ba_5
2281,,,EPI_ISL_13799120,,,hCoV-19/Wales/PHWC-PJ6IYM/2022,,ba_5
2282,,,EPI_ISL_13470397,,,hCoV-19/England/LSPA-3E68078/2022,,ba_5
2283,,,EPI_ISL_15926574,,,hCoV-19/Wales/PHWC-PK8TPD/2022,,ba_5
2284,,,EPI_ISL_14041433,,,hCoV-19/England/LSPA-3ED5AC3/2022,,ba_5
2285,,,EPI_ISL_13617301,,,hCoV-19/Scotland/SCOT-13742/2022,,ba_5
2286,,,EPI_ISL_13609911,,,hCoV-19/England/LSPA-3E90F3E/2022,,ba_5
2287,,,EPI_ISL_14948395,,,hCoV-19/England/PLYM-3F8BEDE/2022,,ba_5
2288,,,EPI_ISL_14164615,,,hCoV-19/England/QEUH-3F0CEF3/2022,,ba_5
2289,,,EPI_ISL_16468195,,,hCoV-19/England/QEUH-326843B1/2022,,ba_5
2290,,,EPI_ISL_15272447,,,hCoV-19/England/QEUH-3258658D/2022,,ba_5
2291,,,EPI_ISL_14235023,,,hCoV-19/Wales/PHWC-PKB11D/2022,,ba_5
2292,,,EPI_ISL_13743029,,,hCoV-19/England/PHEP-YYFG7QS/2022,,ba_5
2293,,,EPI_ISL_15475544,,,hCoV-19/England/PHEP-YYF4ZTC/2022,,ba_5
2294,,,EPI_ISL_15601402,,,hCoV-19/Northern Ireland/NIRE-01efa8/2022,,ba_5
2295,,,EPI_ISL_16721794,,,hCoV-19/England/PHEC-YY87CBO/2023,,ba_5
2296,,,EPI_ISL_14470396,,,hCoV-19/England/LSPA-3F57C68/2022,,ba_5
2297,,,EPI_ISL_13881136,,,hCoV-19/England/PHEC-YYFH57C/2022,,ba_5
2298,,,EPI_ISL_14841779,,,hCoV-19/Scotland/EDB70682/2022,,ba_5
2299,,,EPI_ISL_16442780,,,hCoV-19/England/PHEC-YY8IE1B/2022,,ba_5
